city,state,shape,date
Kokomo,IN,fireball,2006-03-21
Kokomo,IN,disk,2006-03-21
Sonora,CA,light,2006-03-21
Port Angeles,WA,triangle,2006-03-21
Burnaby,BC,unknown,2006-03-22
Fontana,CA,unknown,2006-03-22
Rankin,TX,oval,2006-03-22
Contoocook,NH,circle,2006-03-22
Port el Kantoui (Tunisia),NA,other,2006-03-22
Las Vegas,NV,light,2006-03-22
Lincoln,NE,light,2006-03-22
Kokomo,IN,light,2006-03-22
"Patung Beach (Phuket Islan, Thailand)",NA,changing,2006-03-22
York,PA,circle,2006-03-23
Amarillo,TX,rectangle,2006-03-23
Rancho Mirage,CA,fireball,2006-03-23
Las Vegas,NV,oval,2006-03-23
Kansas City,MO,changing,2006-03-23
Ben Lomond,CA,light,2006-03-23
Powhatan,VA,light,2006-03-23
Scottsdale,AZ,disk,2006-03-23
Victorville,CA,light,2006-03-24
Greenwood Village,CO,light,2006-03-24
Boston,MA,cigar,2006-03-24
Lubbock,TX,circle,2006-03-24
Halifax,NS,light,2006-03-24
Alhambra,CA,fireball,2006-03-25
Carson,CA,fireball,2006-03-25
Summers,AR,flash,2006-03-25
Prairie Grove,AR,flash,2006-03-25
Stroud,OK,flash,2006-03-25
Summersville,WV,unknown,2006-03-25
Amherst,NY,circle,2006-03-25
Blue Springs,MO,unknown,2006-03-25
Onion Creek,WA,fireball,2006-03-25
Kenosha,WI,disk,2006-03-25
Manchester,CT,other,2006-03-25
Plymouth,WI,formation,2006-03-25
Prestonsburg,KY,light,2006-03-26
Orlando,FL,unknown,2006-03-26
Murphy,NC,unknown,2006-03-26
Gainesville,FL,changing,2006-03-26
Saint Paul Park,MN,fireball,2006-03-26
Irvine,CA,circle,2006-03-26
High Knoll Fort (St. Helena Island),NA,light,2006-03-27
Pecs (enroute eastbound to) (Hungary),NA,changing,2006-03-27
Sydney (Australia),NA,light,2006-03-27
Baie D'urfe,QC,changing,2006-03-27
Sanford,ME,circle,2006-03-28
Hemet,CA,triangle,2006-03-28
Brunswick,ME,circle,2006-03-28
Campbelltown-Sydney (Australia),NA,other,2006-03-28
Sutton,MA,oval,2006-03-28
Penobsquis,NB,unknown,2006-03-28
Wayne,NJ,triangle,2006-03-28
Stamford,CT,changing,2006-03-29
Brockville,ON,circle,2006-03-29
Longmont,CO,other,2006-03-29
Yamachiche,QC,triangle,2006-03-29
Starkville,MS,circle,2006-03-29
Kokomo,IN,light,2006-03-29
Milladore,WI,light,2006-03-29
Jonesville,MI,other,NA
Penicuik (UK/Scotland),NA,triangle,2006-03-30
Tallahassee,FL,fireball,2006-03-30
Palmetto,FL,flash,2006-03-30
Broadway,NC,unknown,2006-03-30
Marion,IN,light,2006-03-30
Cape Town (South Africa),NA,teardrop,2006-03-30
Greenwood,IN,triangle,2006-03-31
Calabasas,CA,flash,2006-03-31
Madurai (India),NA,unknown,2006-03-31
Singapore,NA,oval,2006-03-31
Lincoln,NE,light,2006-03-31
Tri-Cities,WA,light,2006-03-31
Attica,IN,NA,NA
Lake Elsinore,CA,triangle,NA
Grand Terrace,CA,cylinder,NA
NA,AZ,NA,NA
Belleview,NE,diamond,NA
Norwood,MA,cigar,NA
Azusa,CA,triangle,NA
Fort Bragg,NC,triangle,2009-09-20
Olmsted Falls,OH,diamond,1999-12-30
"Kansas City\Lenexa, Kansas area",KS,formation,NA
Portsmouth,NA,rectangle,NA
Zion,IL,light,NA
